Nom Organisme;Court Organisme;Consultant;Synd;Nom Soc;Nom Client;Syndicat;Lib SectAct;Lib StatutPart;Nom Resp Org;Lib Civil;Court Civil;Adresse 1 Org;Adresse 2 Org;CP Org;Ville Org;Nom Pays;CP US;Tél Org;Fax Org;Site Org
GDP SA;GDP SA;FAUX;FAUX;GDP SA;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;6 avenue Charles de Gaulle;;78150;LE CHESNAY;FRANCE;FAUX;01 39 54 00 61;;
SOLVIN FRANCE;SOLVIN;FAUX;FAUX;SOLVIN FRANCE;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;25 rue de Clichy;;75009;PARIS;FRANCE;FAUX;;;
SNEP;SNEP;FAUX;FAUX;SNEP;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;11bis rue de Milan;;75009;PARIS;FRANCE;FAUX;;;
KEM ONE;KEM ONE;FAUX;FAUX;KEM ONE;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;3 rue Maurice Hollande;;51100;REIMS;FRANCE;FAUX;;;
BNBA;BNBA;FAUX;FAUX;BNBA;;Non adhérents = 999;;Opérateur de normalisation;;;;10 avenue de Saint-Mandé;;75012;PARIS;FRANCE;FAUX;01 72 84 96 53;;
CNEP;CNEP;FAUX;FAUX;CNEP;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Bâtiment A220;ZI de Breuil-le-Sec;60676;CLERMONT Cedex;FRANCE;FAUX;04 73 40 53 00;;
ATLAS MTT FRANCE;ATLAS MTT;FAUX;FAUX;ATLAS MTT FRANCE;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;3 rue des Longues Raies;ZA La Barogne;77230;MOUSSY-LE-NEUF;FRANCE;FAUX;01 60 54 94 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;45 rue de Londres;;75379;PARIS Cedex 08;FRANCE;FAUX;;;
CREPIM;CREPIM;FAUX;FAUX;CREPIM;;FIF = 101;;;;;;Parc d'Activités de la Porte Nord;;62700;BRUAY-LA-BUISSIERE;FRANCE;FAUX;03 21 61 64 00;;
EMC;EMC;FAUX;FAUX;EMC;;Non adhérents = 999;;;;;;La Gare;;61400;MAUVES-SUR-HUISNE;FRANCE;FAUX;;;
SEVAR SARL;SEVAR SARL;FAUX;FAUX;STATION D'ESSAIS DE VIEILLISSEMENT NATUREL BANDOL;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;75 rue Cuvier;BP F;83150;BANDOL;FRANCE;FAUX;04 94 29 79 80;;
SAINT-GOBAIN;SAINT-GOBAIN;FAUX;FAUX;SAINT-GOBAIN;;FIF = 101;;;;;;ul. Szklarska 27;;PL-68-205;ZARY;POLOGNE;FAUX;+49;;
SOFICOR-MADER;SOFICOR-MADER;FAUX;FAUX;SOFICOR-MADER;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Rue des Champs;BP 15;62161;MAROEUIL;FRANCE;FAUX;;;
BECKER INDUSTRIES;BECKER INDUS.;FAUX;FAUX;BECKER INDUSTRIES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;2 avenue Général Roux;BP 35;38803;LE PONT-DE-CLAIX Cedex;FRANCE;FAUX;;;
DUPONT COATING  SAS;DUPONT COATING;FAUX;FAUX;DUPONT COATING  SAS;;Non adhérents = 999;;;;;;Allée de Chantereine;;78711;MANTES-LA-VILLE;FRANCE;FAUX;01 30 92 80 00;;
AHAUSER;AHAUSER;FAUX;FAUX;AHAUSER;;Non adhérents = 999;;;;;;Weg 12-22;;D-35781;WEILBURG;ALLEMAGNE;FAUX;;;
POLYCOMPOSITES MADER;POLYCOMPOSITES;FAUX;FAUX;POLYCOMPOSITES MADER;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Rue de l'Industrie;;68700;CERNAY;FRANCE;FAUX;03 89 37 62 62;;
MAFELEC;MAFELEC;FAUX;FAUX;MAFELEC;;Non adhérents = 999;;;;;;471 route de la Cuisinière;;38470;CHIMILIN;FRANCE;FAUX;04 76 32 07 33;;
COMPIN FRONT ENDS;COMPIN;FAUX;FAUX;COMPIN FRONT ENDS;;Non adhérents = 999;;;;;;19 rue Galilée;DEFI 22 - ZAC de Belle Ayre;17440;AYTRE;FRANCE;FAUX;05 46 45 85 16;;
MASTERS COMPOSITES;MASTERS;FAUX;FAUX;MASTERS COMPOSITES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Rue Pythagore;ZI de Belle Ayre - BP 49;17442;AYTRE Cedex;FRANCE;FAUX;;;
FIMALIN;FIMALIN;FAUX;FAUX;FIMALIN;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Rue Denis Papin;ZI;76330;NOTRE-DAME-DE-GRAVENCHON;FRANCE;FAUX;;;
FBO;FBO;FAUX;FAUX;FBO;;FIF = 101;;;;;;2 rue Montgolfier;ZI Boisse;87203;SAINT-JUNIEN;FRANCE;FAUX;05 55 02 26 32;;
CEIT;CEIT;FAUX;FAUX;CEIT;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;32 rue des Aubuies;ZI Nord;86200;LOUDUN;FRANCE;FAUX;05 49 98 37 28;;
LAF;LAF;FAUX;FAUX;LAF;;FIF = 101;;;;;;55 rue du Bois Chaland;;91029;EVRY Cedex;FRANCE;FAUX;02 37 18 48 00;;
VTG RAIL EUROPE France;VTG RAIL EUROPE;FAUX;FAUX;VTG FRANCE;;AFWP = 201;;;;;;44 rue Washington;;75408;PARIS Cedex 08;FRANCE;FAUX;01 40 47 33 00;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;75 avenue Yves Farge;ZI des Yvaudières;37701;SAINT-PIERRE-DES-CORPS Cedex;FRANCE;FAUX;02 47 32 55 55;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;115 rue André Durouchez;Espace Industriel Nord;80046;AMIENS;FRANCE;FAUX;03 22 67 35 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;24 rue Villeneuve;;92583;CLICHY-LA-GARENNE;FRANCE;FAUX;01 53 25 60 00;;
COMPIN FRONT ENDS;COMPIN;FAUX;FAUX;COMPIN FRONT ENDS;;Non adhérents = 999;;;;;;La Gare;;61400;MAUVES-SUR-HUISNE;FRANCE;FAUX;;;
FASSETA MECANIQUE;FASSETA;FAUX;FAUX;FASSETA;;Non adhérents = 999;;;;;;36 boulevard de la Gare;;13713;LA PENNE-SUR-HUVEAUNE;FRANCE;FAUX;;;
FI-PROCESS;FI-PROCESS;FAUX;FAUX;FI-PROCESS;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;ZI des Landes Fleuries;;49600;ANDREZE;FRANCE;FAUX;;;
MATISA;MATISA;FAUX;FAUX;MATISA;;FIF = 101;;;;;;9 rue de l'Industrie;;89100;SENS;FRANCE;FAUX;03 29 86 40 03;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;2bis rue Aristide Briand;;10100;ROMILLY-SUR-SEINE;FRANCE;FAUX;03 25 39 62 44;;
EGIS RAIL;EGIS RAIL;FAUX;FAUX;EGIS;;FIF = 101;;;;;;168-170 avenue Thiers;;69455;LYON;FRANCE;FAUX;04 37 72 40 50;;
SIEMENS TRANSPORTATION SYSTEMS;SIEMENS TRANSPO;FAUX;FAUX;SIEMENS;;FIF = 101;;;;;;150 avenue de la République;;92323;CHATILLON;FRANCE;FAUX;01 49 65 70 00;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;54 quai de la Rapée;;75599;PARIS Cedex 12;FRANCE;FAUX;+33 1 58 78 20 20;;
SAFT;SAFT;FAUX;FAUX;SAFT;;FIF = 101;;;;;;111-123 boulevard Alfred Daney;;33074;BORDEAUX;FRANCE;FAUX;05 57 10 64 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;105 allée Albert Einstein;;71200;LE CREUSOT;FRANCE;FAUX;03 85 73 60 00;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;1bis rue des Sablons;ZAC Haie Griselle;94470;BOISSY-SAINT-LEGER;FRANCE;FAUX;01 58 78 20 20;;
SIEMENS;SIEMENS;FAUX;FAUX;SIEMENS;;FIF = 101;;;;;;743 allée des Parcs;;69800;SAINT PRIEST;FRANCE;FAUX;04 37 54 44 00;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;41 rue Jean-Jaurès;;92230;GENNEVILLIERS;FRANCE;FAUX;01 41 85 43 46;;
TSO;TSO;FAUX;FAUX;TSO;;FIF = 101;;;;;;Chemin du Corps de Garde;;77501;CHELLES;FRANCE;FAUX;01 64 72 72 00;;
RAILTECH INTERNATIONAL;RAILTECH;FAUX;FAUX;RAILTECH;;FIF = 101;;;;;;119 avenue Louis Roche;;92231;GENNEVILLIERS;FRANCE;FAUX;01 46 88 17 25;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;18 rue de Dunkerque;;75010;PARIS;FRANCE;FAUX;01 49 95 10 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Linke-Hofmann-Busch-strasse 1;;D-38239;SALZGITTER;ALLEMAGNE;FAUX;+49;;
COLAS RAIL;COLAS RAIL;FAUX;FAUX;COLAS RAIL;;FIF = 101;;;;;;44 rue Jean Mermoz;;78600;MAISONS-LAFITTE;FRANCE;FAUX;01 34 93 83 00;;
NORD COMPOSITES;NORD COMPOSITES;FAUX;FAUX;NORD COMPOSITES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;ZA route d'Amiens;;80890;CONDE-FOLIE;FRANCE;FAUX;03 22 31 57 57;;
CRITT MATERIAUX;CRITT MATERIAUX;FAUX;FAUX;CRITT MATERIAUX;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Rue Maurice Mallet;ZA Béligon;17303;ROCHEFORT Cedex;FRANCE;FAUX;05 46 83 93 81;;
RESCOLL;RESCOLL;FAUX;FAUX;RESCOLL;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;8 allée Geoffroy Saint Hilaire;;33615;PESSAC;FRANCE;FAUX;05 40 00 37 87;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Via Ottavio Moreno 23;;I-12038;SAVIGLIANO CN;ITALIE;FAUX;;;
BUREAU VERITAS;BUREAU VERITAS;FAUX;FAUX;BUREAU VERITAS;;Non adhérents = 999;;;;;;67-71 boulevard du Château;;92571;NEUILLY-SUR-SEINE;FRANCE;FAUX;01 55 24 70 00;;
INSTITUT DE SOUDURE INDUSTRIE;INSTIT. SOUDURE;FAUX;FAUX;INSTITUT DE SOUDURE INDUSTRIE;;Non adhérents = 999;;;;;;90 rue des Vanesses;ZI Paris Nord II;93420;VILLEPINTE;FRANCE;FAUX;01 49 90 36 00;;
TATA STEEL FRANCE RAIL SA;TATA STEEL FRAN;FAUX;FAUX;TATA STEEL;;FIF = 101;;;;;;164 rue du Maréchal Foch;;57705;HAYANGE CEDEX;FRANCE;FAUX;03 82 57 45 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;1 rue Benoît Frachon;BP 4139;58641;VARENNES VAUZELLES;FRANCE;FAUX;03 86 68 42 07;;
MG VALDUNES;MG VALDUNES;FAUX;FAUX;MG VALDUNES;;FIF = 101;;;;;;BP 125;;59943;DUNKERQUE Cedex 2;FRANCE;FAUX;03 28 29 60 00;;
SKF;SKF SVERIGE AB;FAUX;FAUX;SKF;;FIF = 101;;;;;;Von Utfallsgatan 4;;SE-41550;GOTHENBURG;SUEDE;FAUX;+46;;
