name;members;attached_to;status;address_1;address_2;postcode;city;country_code;phone_no;fax_no;misc
MECELEC;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Route de Lamarche;BP 19;21270;VONGES;FRANCE;;;
TPC;FAUX;Non adhérents = 999;;Avenue du Colonel Prat;;21850;SAINT-APOLLINAIRE;FRANCE;03 80 71 74 00;;
ALSTOM;FAUX;FIF = 101;;27 avenue de Lattre de Tassigny;;25920;ORNANS;FRANCE;;;
COMPIN;FAUX;Non adhérents = 999;;1 rue Du Guesclin;ZI de Nétreville;27108;EVREUX;FRANCE;02 32 33 92 00;;
HUTCHINSON;FAUX;Non adhérents = 999;;2 rue Turgot;;27150;ETREPAGNY;FRANCE;;;
HUTCHINSON;FAUX; =;;2 rue Turgot;;27150;ETREPAGNY;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;Calle de Martinez;Villergas 49;28027;MADRID;ESPAGNE;;;
BNIB;FAUX;Non adhérents = 999;Opérateur de normalisation;59 rue des Longs Réages;;28231;EPERNON Cedex;FRANCE;;;
BLUE SOLUTIONS;FAUX;Non adhérents = 999;;Lieu-dit Odet;CS 15005 Ergue Gaberic;29556;QUIMPER Cedex 9;FRANCE;02 98 66 72 00;;
UNAC;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;Avenue de Camargues;ZI -  BP 9;30310;VERGEZE;FRANCE;04 66 35 02 53;;
GLENAIR;FAUX;Non adhérents = 999;;Central Parc 2;7 avenue Parmentier;31200;TOULOUSE;FRANCE;;;
LEROY AUTOMATION;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;250 rue Max Planck;;31670;LABEGE;FRANCE;05 62 24 05 41;;
SAFT;FAUX;FIF = 101;;111-123 boulevard Alfred Daney;;33074;BORDEAUX;FRANCE;05 57 10 64 00;;
RESCOLL;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);8 allée Geoffroy Saint Hilaire;;33615;PESSAC;FRANCE;05 40 00 37 87;;
MITSUBISHI ELECTRIC R&D CENTRE EUROPE;FAUX;Non adhérents = 999;;1 allée de Beaulieu;BP 10806;35708;RENNES Cedex 7;FRANCE;02 23 45 58 58;;
AHAUSER;FAUX;Non adhérents = 999;;Weg 12-22;;35781;WEILBURG;ALLEMAGNE;;;
SATEBA;FAUX;FIF = 101;;18 rue du Pont Libert;;37250;LA RICHE;FRANCE;;;
SKF FRANCE RAILWAY;FAUX;FIF = 101;;204 boulevard Charles de Gaulle;;37540;SAINT-CYR-SUR-LOIRE;FRANCE;02 47 40 30 00;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;71 rue des Ateliers;;37700;SAINT-PIERRE-DES-CORPS;FRANCE;02 47 32 19 48;;
FAIVELEY TRANSPORT;FAUX;FIF = 101;;Rue Amélia Earhart;ZI du Bois de Plante;37700;LA VILLE-AUX-DAMES;FRANCE;+33 2 47 32 57 30;;
FAIVELEY TRANSPORT;FAUX;FIF = 101;;75 avenue Yves Farge;ZI des Yvaudières;37701;SAINT-PIERRE-DES-CORPS Cedex;FRANCE;02 47 32 55 55;;
CORYS;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;44 rue des Berges;;38024;GRENOBLE CEDEX;FRANCE;;;
CEA GRENOBLE;FAUX;Non adhérents = 999;;17 rue des Martyrs;CS 60085;38054;GRENOBLE Cedex 9;FRANCE;04 76 46 31 04;;
ACIERIES & LAMINOIRS DE RIVES;FAUX;FIF = 101;;BP 60;;38147;RIVES Cedex;FRANCE;+33 4 76 91 42 44;;
ALSTOM;FAUX;FIF = 101;;Linke-Hofmann-Busch-strasse 1;;38239;SALZGITTER;ALLEMAGNE;49;;
INGEROP;FAUX;Non adhérents = 999;;17 chemin de la Dhuy;Immeuble le Massangis BP 167;38240;MEYLAN Cedex;FRANCE;04 76 41 18 90;;
STRMTG;VRAI;STRMTG = 203;;1461 rue de la Piscine;;38400;SAINT-MARTIN-D'HERES;FRANCE;+33 4 76 63 78 78;;
MAFELEC;FAUX;Non adhérents = 999;;471 route de la Cuisinière;;38470;CHIMILIN;FRANCE;04 76 32 07 33;;
ELEKTEK C&I;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;11 Chemin de Marmonnière;;38690;TORCHEFELON;FRANCE;04 74 83 40 72;;
BECKER INDUSTRIES;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);2 avenue Général Roux;BP 35;38803;LE PONT-DE-CLAIX Cedex;FRANCE;;;
DSG-CANUSA;FAUX;Non adhérents = 999;;5 impasse Clos Soleil;c/ M. J.-P. Costes;40530;LABENNE;FRANCE;;;
TIMKEN GmbH;FAUX; =;;Reisholzer Werftstraße 38;;40589;DUSSELDORF;ALLEMAGNE;;;
IDI COMPOSITES INT.EUROPE;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);126 rue Laennec;CS 97202;41354;VINEUIL Cedex;FRANCE;02 54 55 55 54;;
SKF;FAUX;FIF = 101;;Von Utfallsgatan 4;;41550;GOTHENBURG;SUEDE;46;;
KTK SEATS;FAUX;FIF = 101;;1 rue Amy Johnson;;42160;ANDREZIEUX-BOUTHEON;FRANCE;04 77 50 53 00;;
SIEMENS BT;FAUX;Non adhérents = 999;;11 rue Leinster;;44240;LA CHAPELLE-SUR-ERDRE;FRANCE;;;
ENGIE SOLUTIONS;FAUX;Non adhérents = 999;;4 rue du Marché Commun;;44334;NANTES;FRANCE;;;
CEN;FAUX;Non adhérents = 999;Opérateur de normalisation;6 avenue du Clos d'Ust;;44500;LA BAULE;FRANCE;02 40 19 68 44;;
PROCONECT;FAUX;FIF = 101;;ZAC de la Pentecôte;7-9-11 rue Jean Rouxel;44700;ORVAULT;FRANCE;;;
SPENCER MOULTON;FAUX;FIF = 101;;21 rue de la Gare;;45330;MALESHERBES;FRANCE;02 38 32 72 28;;
sa;FAUX;FIF = 101;;BP 32;;45600;SULLY-SUR-LOIRE;FRANCE;02 38 37 30 00;;
CMAR;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;3 rue Denis Papin;ZA Pont -Ramé;49430;DURTAL;FRANCE;02 41 76 31 62;;
FI-PROCESS;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);ZI des Landes Fleuries;;49600;ANDREZE;FRANCE;;;
FREINRAIL;FAUX;FIF = 101;;47-49 rue Gosset;BP 185;51057;REIMS;FRANCE;03 26 79 72 00;;
KEM ONE;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);3 rue Maurice Hollande;;51100;REIMS;FRANCE;;;
KNORR BREMSE;FAUX;FIF = 101;;9 route de Champigny;;51430;TINQUEUX;FRANCE;;;
KNORR-BREMSE;FAUX;FIF = 101;;47-49 rue Gosset;;51722;REIMS Cedex;FRANCE;03 26 79 72 00;;
ALLO DIAGNOSTIC;FAUX;Non adhérents = 999;;Parc Saint-Fiacre;;53200;CHÂTEAU-GONTIER;FRANCE;;;
REICHOLD;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);ZI Nord;;55400;ETAIN;FRANCE;03 29 87 07 79;;
CORUS Rail;FAUX;FIF = 101;;164 rue du Maréchal Foch;;57705;HAYANGE Cedex;FRANCE;;;
TATA STEEL FRANCE RAIL SA;FAUX;FIF = 101;;164 rue du Maréchal Foch;;57705;HAYANGE CEDEX;FRANCE;03 82 57 45 00;;
LIBERTY RAIL;FAUX;FIF = 101;;164 rue du Maréchal Foch;BP 10166;57705;HAYANGE Cedex;FRANCE;;;
FRAMAFER;FAUX;Non adhérents = 999;;77 rue de la Gare;;57803;BENING-LES-SAINT-AVOLD;FRANCE;03 87 29 22 00;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;1 rue Benoît Frachon;BP 4139;58641;VARENNES VAUZELLES;FRANCE;03 86 68 42 07;;
SIEMENS TRANSPORTATION SYSTEMS;FAUX;FIF = 101;;91 rue Nationale;BP 2045;59015;LILLE Cedex;FRANCE;;;
HUTCHINSON LJF;FAUX;Non adhérents = 999;;173 rue Jules Guesde;;59100;ROUBAIX;FRANCE;;;
MG VALDUNES;FAUX;FIF = 101;;BP 12;;59125;TRITH-SAINT-LEGER;FRANCE;03 27 23 62 62;;
ALSTOM;FAUX;FIF = 101;;Place des Ateliers;BP 1;59154;CRESPIN;FRANCE;03 27 23 53 00;;
STRATIFORME INDUSTRIES;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);570 rue du Pavé;;59235;BERSEE;FRANCE;03 20 84 90 10;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;Technicentre Hellemmes;57 rue Ferdinand Mathias;59260;LILLE;FRANCE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;57 rue Ferdinand Mathias;;59260;HELLEMMES;FRANCE;;;
CERTIFER;FAUX;Non adhérents = 999;;1 Place de Boussu;BP 70141;59411;ANZIN Cedex;FRANCE;03 27 28 35 00;;
EGIS ENVIRONNEMENT;FAUX;FIF = 101;;40 avenue de la Marne;BP 47;59442;WASQUEHAL Cedex;FRANCE;03 20 69 24 24;;
ALSTOM;FAUX;FIF = 101;;Parc d'activités Lavoisier;Rue Jacquard BP 45;59494;PETITE-FORET;FRANCE;03.27.14.18.00;;
CENTRE D'ESSAIS FERROVIAIRES;FAUX;FIF = 101;;Rue Fresnel;;59494;PETITE-FORET;FRANCE;03 27 32 46 94;;
PANDROL;FAUX;FIF = 101;;Parc Lavoisier;Rue Michel Chasles;59494;PETITE FORET;FRANCE;;;
TITAGAHR WAGONS AFR;FAUX;AFWP = 201;;140 rue du Paradis;;59500;DOUAI;FRANCE;03 27 93 49 49;;
PANDROL;FAUX;FIF = 101;;205 rue Sin le Noble;BP 261;59504;DOUAI Cedex;FRANCE;03 27 99 64 00;;
ECOLE DES MINES DE DOUAI;FAUX;Non adhérents = 999;Organisme d'enseignement sup.;941 rue Charles Bourseul;BP 10838;59508;DOUAI Cedex;FRANCE;03 27 71 22 22;;
RAILTECH INTERNATIONAL (PANDROL);FAUX;FIF = 101;;ZI du Bas Pré;;59590;RAISMES;FRANCE;03 27 22 26 26;;
IFSTTAR;FAUX;Non adhérents = 999;Etabl. publ. scientif. & tech.;20 rue Elisée Reclus;;59666;VILLENEUVE-D'ASCQ;FRANCE;03 20 43 83 43;;
MG VALDUNES;FAUX;FIF = 101;;BP 125;;59943;DUNKERQUE Cedex 2;FRANCE;03 28 29 60 00;;
MG-VALDUNES;FAUX;FIF = 101;;BP 60129;;59945;LEFFRINCKOUCKETEL;FRANCE;;;
FAIVELEY TRANSPORT;FAUX;FIF = 101;;ZI Voie Nouvelle;Rue du Reckem;59960;NEUVILLE-EN-FERRAIN;FRANCE;03 20 45 65 46;;
DCP;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);ZI de Nogent;BP 6;60104;CREIL;FRANCE;03 44 65 62 62;;
NEXANS FRANCE;FAUX;FIF = 101;;15 rue Lambin;;60120;PAILLART;FRANCE;03 44 80 67 00;;
GRTGAZ;FAUX;Non adhérents = 999;;5 rue Ferdinand de Lesseps;BP 50309;60203;COMPIEGNE Cedex;FRANCE;;;
CNEP;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Bâtiment A220;ZI de Breuil-le-Sec;60676;CLERMONT Cedex;FRANCE;04 73 40 53 00;;
FEDERAL MOGUL SPG SAS;FAUX;Non adhérents = 999;;69 rue Henri Laroche;BP 70216;60802;CREPY-EN-VALOIS Cedex;FRANCE;03 44 94 48 48;;
EMC;FAUX;Non adhérents = 999;;La Gare;;61400;MAUVES-SUR-HUISNE;FRANCE;;;
COMPIN FRONT ENDS;FAUX;Non adhérents = 999;;La Gare;;61400;MAUVES-SUR-HUISNE;FRANCE;;;
SOFICOR-MADER;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Rue des Champs;BP 15;62161;MAROEUIL;FRANCE;;;
OUTREAU TECHNOLOGIES;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;BP 119;;62230;OUTREAU;FRANCE;;;
CCP COMPOSITES;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);36 route d'Arras;;62320;DROCOURT;FRANCE;03 21 74 84 00;;
CREPIM;FAUX;FIF = 101;;Parc d'Activités de la Porte Nord;;62700;BRUAY-LA-BUISSIERE;FRANCE;03 21 61 64 00;;
HITACHI RAIL STS;FAUX;FIF = 101;;ZAC des Portes de Riom;;63200;RIOM;FRANCE;04 73 67 15 15;;
ALSTOM;FAUX;FIF = 101;;75 rue Georges Lassalle;;65000;TARBES;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;Rue du Docteur Guinier;BP 4;65601;SEMEAC Cedex;FRANCE;05 62 37 21 21;;
FS GROUP;FAUX;FIF = 101;;29 rue du Faubourg de Saverne;;67000;STRASBOURG;FRANCE;03 88 24 98 30;;
VOSSLOH-COGIFER;FAUX;FIF = 101;;Rue des Forges;BP 01;67110;REICHSHOFFEN;FRANCE;03 88 80 86 80;;
LOHR INDUSTRIE;FAUX;FIF = 101;;Avenue de la Concorde;ZA de la Bruche;67120;DUPPIGHEIM;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;20 avenue de la Concorde;;67120;ERNOLSHEIM-SUR-BRUCHE;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;11 boulevard Pasteur;;67500;HAGUENAU;FRANCE;03 88 80 25 00;;25/02/2022 : changement d'adresse (transfert du site de Reichshoffen suite à sa cession par Alstom au groupe CAF)
YOUR WELDING PARTNER;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;2 rue du Potager;;67500;HAGUENAU;FRANCE;;;
EMS CONCEPT;FAUX;FIF = 101;;18 rue du Maréchal Joffre;;67701;SAVERNE;FRANCE;;;
SNCF Direction du matériel;FAUX;SNCF Voyageurs = 102;;48 avenue de Périgueux;;67800;BISCHHEIM;FRANCE;;;
THE TIMKEN COMPANY;FAUX;Non adhérents = 999;;2 rue Timken;;68002;COLMAR;FRANCE;03 89 21 44 44;;
SAINT-GOBAIN;FAUX;FIF = 101;;ul. Szklarska 27;;68205;ZARY;POLOGNE;49;;
POLYCOMPOSITES MADER;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Rue de l'Industrie;;68700;CERNAY;FRANCE;03 89 37 62 62;;
BERNARD LEROUGE CONSEIL;FAUX;Non adhérents = 999;;4 rue du Meunier;;68720;FROENINGEN;FRANCE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;15bis rue Claude Collonges;;69002;LYON;FRANCE;;;
SYSTRA;FAUX;SYSTRA = 204;;20 rue de La Villette;;69003;LYON;FRANCE;;;
NEXANS;FAUX;FIF = 101;;210 avenue Jean Jaurès;;69007;LYON;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;3 rue Henri Legay;;69100;VILLEURBANNE;FRANCE;04 72 81 52 00;;
ALSTOM;FAUX;FIF = 101;;19 rue Alfred de Musset;;69100;VILLEURBANNE;FRANCE;04 72 81 52 00;;
ADETEL EQUIPMENT;FAUX;Non adhérents = 999;;2-4 chemin du Ruisseau;;69130;ECULLY;FRANCE;04 72 18 08 40;;
GERFLOR;FAUX;FIF = 101;;43 boulevard Garibaldi;;69170;TARARE;FRANCE;04 74 05 40 00;;
EGIS RAIL;FAUX;FIF = 101;;168-170 avenue Thiers;;69455;LYON;FRANCE;04 37 72 40 50;;
BUREAU VERITAS CERTIFICATION FRANCE;FAUX;Non adhérents = 999;;41 chemin des Peupliers;;69570;DARDILLY;FRANCE;04 78 66 83 83;;
ALSTOM;FAUX;FIF = 101;;11-13 avenue du Bel Air;;69627;VILLEURBANNE;FRANCE;04 72 81 52 00;;
MERSEN France SB;FAUX;Non adhérents = 999;;15 rue Jacques Vaucanson;;69720;SAINT-BONNET-DE-MURE;FRANCE;04 72 22 66 11;;
NIEF PLASTIC;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);10 rue Jean Rostand;BP 315;69745;GENAS Cedex;FRANCE;;;
SIEMENS;FAUX;FIF = 101;;743 allée des Parcs;;69800;SAINT PRIEST;FRANCE;04 37 54 44 00;;
SATEBA;FAUX;FIF = 101;;Rue L.-J. Thénard;ZI Nord;71100;CHALON-SUR-SAONE;FRANCE;03 85 97 21 40;;
ALSTOM;FAUX;FIF = 101;;105 allée Albert Einstein;;71200;LE CREUSOT;FRANCE;03 85 73 60 00;;
ALSTOM;FAUX;FIF = 101;;1 rue Jean-Baptiste Marcet;BP 42;71202;LE CREUSOT Cedex;FRANCE;03 85 73 60 00;;
NOVIUM;FAUX;FIF = 101;;2 rue des Chavannes;;71230;SAINT-VALLIER;FRANCE;;;
FIMOR;FAUX;FIF = 101;;210 rue du Polygone;;72058;LE MANS;FRANCE;02 43 40 66 00;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;4 allée des Gémeaux;;72100;LE MANS;FRANCE;+33 2 43 78 67 14;;
MORS SMITT FRANCE;FAUX;FIF = 101;;2 rue de la Mandinière;ZA du Pont;72300;SABLE-SUR-SARTHE;FRANCE;02 43 92 82 00;;
RUSTIN;FAUX;FIF = 101;;102 rue Percheron;;72340;LA CHARTRE-SUR-LOIR;FRANCE;02 43 44 42 56;;
TE CONNECTIVITY;FAUX;FIF = 101;;ZAC du Monne;Rue du Champs du Verger;72705;ALLONNES;FRANCE;;;
SNR ROULEMENTS;FAUX;FIF = 101;;1 rue des Usines;BP 2017;74010;ANNECY;FRANCE;;;
NTN - SNR;FAUX;Non adhérents = 999;;1 rue des Usines;;74010;ANNECY;FRANCE;04 50 65 30 00;;
MECALAC FRANCE SAS;FAUX;Non adhérents = 999;;2 avenue du Pré Challes;Parc des Glaisins - CS 40230;74942;ANNECY Cedex;FRANCE;;;
BNF;FAUX; =;Opérateur de normalisation;22 rue des Capucines;;75002;PARIS;FRANCE;01 71 19 78 90;;
EURAILTEST;FAUX;SNCF Voyageurs = 102;;1 boulevard Saint-Martin;;75003;PARIS;FRANCE;;;
SATEBA;FAUX;FIF = 101;;28 rue Beautreillis;;75004;PARIS;FRANCE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;17 rue d'Amsterdam;;75008;PARIS;FRANCE;01 53 42 00 00;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;46 rue Saint-Lazare;;75009;PARIS;FRANCE;;;
SOLVIN FRANCE;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);25 rue de Clichy;;75009;PARIS;FRANCE;;;
SNEP;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);11bis rue de Milan;;75009;PARIS;FRANCE;;;
SNCF Réseau;FAUX;SNCF Réseau = 104;;18 rue de Dunkerque;;75010;PARIS;FRANCE;01 49 95 10 00;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;76 boulevard Magenta;;75010;PARIS;FRANCE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;Direction générale TGV;21 rue d'Alsace;75010;PARIS;FRANCE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;43-45 place Louis Armand;;75012;PARIS;FRANCE;01 53 33 60 00;;
BNBA;FAUX;Non adhérents = 999;Opérateur de normalisation;10 avenue de Saint-Mandé;;75012;PARIS;FRANCE;01 72 84 96 53;;
SETEC ITS;FAUX;Non adhérents = 999;;42-52 quai de la Rapée;;75012;PARIS;FRANCE;;;
SNCF Réseau;FAUX;SNCF Réseau = 104;;174 avenue de France;;75013;PARIS;FRANCE;;;
SNCF Réseau;FAUX;SNCF Réseau = 104;;34 rue du Commandant Mouchotte;;75014;PARIS;FRANCE;01 53 25 70 45;;
UIC;FAUX;Non adhérents = 999;;16 rue Jean Rey;;75015;PARIS;FRANCE;;;
AFWP;VRAI;AFWP = 201;;Immeuble Cardinet - 7e étage;8 rue Bernard Buffet;75017;PARIS;FRANCE;+33 1 49 07 25 21;;
BNTEC;FAUX;Non adhérents = 999;Opérateur de normalisation;10 rue du Débarcadère;;75017;PARIS;FRANCE;01 40 69 52 59;;
ALSTOM;FAUX;FIF = 101;;22 rue du Printemps;;75017;PARIS;FRANCE;;;
RATP;FAUX;RATP = 103;;8 rue Sente à Bigots;;75019;PARIS;FRANCE;;;
RATP;FAUX;RATP = 103;;92 rue de Lagny;;75020;PARIS;FRANCE;;;
FABRE;FAUX;Non adhérents = 999;;158 rue des Pyrénées;;75020;PARIS;FRANCE;;;
SYCABEL;VRAI;FIEEC = 901;;17 rue de l'Amiral Hamelin;;75116;PARIS;FRANCE;01 47 64 68 10;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;45 rue de Londres;;75379;PARIS Cedex 08;FRANCE;;;
VTG RAIL EUROPE France;FAUX;AFWP = 201;;44 rue Washington;;75408;PARIS Cedex 08;FRANCE;01 40 47 33 00;;
SYSTRA;VRAI;SYSTRA = 204;;72 rue Henry Farman;;75513;PARIS Cedex 15;FRANCE;01 40 16 61 00;;
RATP;VRAI;RATP = 103;;13 rue Jules Vallès;;75547;PARIS Cedex 11;FRANCE;+33 1 58 78 20 20;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;15 rue Traversière;;75580;PARIS Cedex 12;FRANCE;01 53 33 72 07;;
SETEC ITS;FAUX;FIF = 101;;42-52 Quai de la Rapée;Immeuble Central Seine CS 71230;75583;PARIS Cedex 12;FRANCE;01 82 51 57 12;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;209-211 rue de Bercy;;75585;PARIS Cedex 12;FRANCE;01 53 25 60 00;;
RATP;FAUX;RATP = 103;;54 quai de la Rapée;;75599;PARIS Cedex 12;FRANCE;+33 1 58 78 20 20;;
SNCF Recherche;FAUX;SNCF Voyageurs = 102;;40 avenue des Terroirs de France;;75611;PARIS Cedex 12;FRANCE;01 44 74 50 01;;
SNCF Réseau;VRAI;SNCF Réseau = 104;;92 avenue de France;;75648;PARIS Cedex 13;FRANCE;+33 1 53 94 30 00;;
SNCF Réseau;FAUX;SNCF Réseau = 104;;4 rue Ferrus;;75683;PARIS Cedex 14;FRANCE;;;
GIMELEC;VRAI;FIEEC = 901;;11-17 rue de l’Amiral Hamelin;;75783;PARIS Cedex 16;FRANCE;01 45 05 70 70;;
FIEEC;VRAI;FIEEC = 901;;17 rue de l'Amiral Hamelin;;75783;PARIS Cedex 16;FRANCE;01 45 05 70 70;;
DGT;FAUX;Non adhérents = 999;;39-43 Quai André Citroën;;75902;PARIS Cédex 15;FRANCE;;;
SNCF Réseau;FAUX;SNCF Réseau = 104;;19 rue l'Avalasse;;76008;ROUEN;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;9 rue des Patis;;76140;LE PETIT QUEVILLY;FRANCE;;;
FIMALIN;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Rue Denis Papin;ZI;76330;NOTRE-DAME-DE-GRAVENCHON;FRANCE;;;
SMITHS CONNECTORS - HYPERTAC;FAUX;FIF = 101;;31 rue Isidore Maille;;76410;SAINT-AUBIN-LES-ELBEUF;FRANCE;;;
ATLAS MTT FRANCE;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);3 rue des Longues Raies;ZA La Barogne;77230;MOUSSY-LE-NEUF;FRANCE;01 60 54 94 00;;
BASF;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Tech-B3;;77292;MITRY-MORY;FRANCE;01 60 21 42 49;;
ALFA-F;FAUX;SNCF Réseau = 104;;117-119 avenue du Général Leclerc;;77400;LAGNY-SUR-MARNE;FRANCE;01 64 76 33 40;;
CSTB;FAUX;Non adhérents = 999;Opérateur de normalisation;84 avenue Jean Jaurès;;77447;MARNE LA VALLEE;FRANCE;;;
TSO;FAUX;FIF = 101;;Chemin du Corps de Garde;;77501;CHELLES;FRANCE;01 64 72 72 00;;
IFSTTAR;FAUX;Non adhérents = 999;Etabl. publ. scientif. & tech.;25 allée des Marronniers;;78000;VERSAILLES;FRANCE;01 30 84 40 44;;
SOURIAU;FAUX;FIEEC = 901;;9 rue Porte de Buc;CS 80715;78007;VERSAILLES Cedex;FRANCE;01 30 84 77 89;;
THALES SERVICES SAS;FAUX;FIF = 101;;20-22 rue Grange Dame Rose;CS 90519;78141;VELIZY-VILLACOUBLAY Cedex;FRANCE;01 73 32 00 00;;
GDP SA;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);6 avenue Charles de Gaulle;;78150;LE CHESNAY;FRANCE;01 39 54 00 61;;
